"";"y1";"n1";"y2";"n2"
"1";1;1;1;1
"2";1;2;1;2
"3";0;3;0;3
"4";1;4;1;4
"5";0;5;0;5
"6";0;6;0;6
"7";0;7;0;7
"8";1;8;1;8
"9";0;9;1;9
"10";0;10;1;10
"11";1;11;1;11
"12";1;12;1;12
"13";0;13;1;13
"14";1;14;1;14
"15";1;15;1;15
"16";0;16;0;16
"17";0;17;1;17
"18";1;18;1;18
"19";0;19;0;19
"20";0;20;1;20
"21";0;21;0;21
"22";0;22;1;22
"23";0;23;1;23
"24";1;24;0;24
"25";1;25;0;25
"26";0;26;1;26
"27";0;27;1;27
"28";0;28;1;28
"29";0;29;1;29
"30";1;30;1;30
"31";1;31;0;31
"32";1;32;0;32
"33";0;33;0;33
"34";0;34;0;34
"35";1;35;1;35
"36";1;36;0;36
"37";1;37;1;37
"38";1;38;1;38
"39";1;39;1;39
"40";1;40;1;40
"41";1;41;1;41
"42";0;42;0;42
"43";0;43;1;43
"44";1;44;1;44
"45";1;45;0;45
"46";1;46;1;46
"47";0;47;0;47
"48";1;48;1;48
"49";0;49;1;49
"50";1;50;1;50
"51";0;51;1;51
"52";1;52;1;52
"53";1;53;1;53
"54";0;54;0;54
"55";0;55;1;55
"56";0;56;1;56
"57";1;57;1;57
"58";1;58;0;58
"59";0;59;0;59
"60";1;60;0;60
"61";1;61;1;61
"62";0;62;0;62
"63";1;63;1;63
"64";1;64;1;64
"65";1;65;0;65
"66";0;66;1;66
"67";0;67;1;67
"68";1;68;1;68
"69";0;69;1;69
"70";1;70;0;70
"71";1;71;1;71
"72";0;72;0;72
"73";0;73;0;73
"74";0;74;0;74
"75";0;75;1;75
"76";0;76;1;76
"77";1;77;1;77
"78";0;78;0;78
"79";0;79;1;79
"80";0;80;1;80
"81";0;81;1;81
"82";1;82;0;82
"83";1;83;1;83
"84";0;84;1;84
"85";0;85;0;85
"86";0;86;0;86
"87";1;87;0;87
"88";0;88;1;88
"89";1;89;1;89
"90";0;90;1;90
"91";1;91;0;91
"92";1;92;1;92
"93";0;93;1;93
"94";1;94;0;94
"95";1;95;0;95
"96";0;96;1;96
"97";0;97;1;97
"98";1;98;1;98
"99";1;99;1;99
"100";1;100;1;100
